Model,Creator,GDPvalAAv2,Tau3Banking,TerminalBenchv21,SciCode,AA-LCR,AA-OmniscienceAccuracy,HLE,GPQADiamond,CritPt,真实覆盖,补全分量,GDPvalAAv2补全,Tau3Banking补全,TerminalBenchv21补全,SciCode补全,AA-LCR补全,AA-OmniscienceAccuracy补全,HLE补全,GPQADiamond补全,CritPt补全
ERNIE 5.0 Thinking Preview,Baidu,1.22,6.73,8.10,38.00,7.00,22.00,13.00,78.00,1.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Gemma 4 31B,Google,12.00,9.00,29.00,41.00,43.00,17.00,12.00,76.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Gemma 4 12B,Google,7.00,9.56,27.00,38.00,62.00,16.00,16.00,75.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Nova 2.0 Pro Preview (medium),Amazon,9.00,9.62,30.00,43.00,58.00,22.00,9.00,78.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Mercury 2,Inception,10.00,9.00,27.00,39.00,41.00,21.00,17.00,77.00,1.00,100%,,0,0,0,0,0,0,0,0,0
Qwen3.5 9B,Alibaba,7.00,7.00,29.00,28.00,65.00,16.00,15.00,81.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Qwen3 Coder Next,Alibaba,11.00,5.00,38.00,32.00,42.00,16.00,10.00,74.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Nova 2.0 Omni (medium),Amazon,10.39,7.53,18.70,36.00,56.00,18.00,7.00,76.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Apriel-v1.6-15B-Thinker,ServiceNow,10.21,7.63,23.13,37.00,50.60,17.00,11.00,73.00,0.00,56%,"AA-LCR,GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,1,0,0,0,0
Nova 2.0 Lite (high),Amazon,4.00,6.95,16.00,37.00,59.00,19.00,12.00,81.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Qwen3.5 9B,Alibaba,7.00,7.00,29.00,28.00,65.00,16.00,15.00,81.00,0.00,78%,,0,0,0,0,0,0,0,0,0
EXAONE 4.5 33B,LG AI Research,9.00,7.22,21.00,28.00,52.00,16.00,13.00,79.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Gemma 4 26B A4B,Google,13.00,12.00,39.00,40.00,62.00,19.00,19.00,79.00,0.00,67%,,0,0,0,0,0,0,0,0,0
Qwen3.5 4B,Alibaba,2.50,4.00,21.00,18.00,34.00,11.00,8.00,71.00,0.00,89%,GDPvalAAv2,1,0,0,0,0,0,0,0,0
North Mini Code,Cohere,2.00,6.00,36.00,38.00,36.00,19.00,11.00,76.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Nova 2.0 Pro Preview (low),Amazon,8.00,8.69,19.00,39.00,63.00,17.00,5.00,75.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Mistral Small 4,Mistral,4.00,5.00,21.00,38.00,47.00,22.00,10.00,77.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Devstral 2,Mistral,12.00,11.00,30.00,33.00,31.00,21.00,4.00,59.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Nova 2.0 Lite (medium),Amazon,11.82,8.12,19.98,37.00,60.00,18.00,9.00,77.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Qwen3.5 Omni Flash,Alibaba,10.06,9.13,25.09,25.00,49.00,15.00,8.00,74.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
JT-MINI,China Mobile,1.22,6.00,9.13,27.00,13.00,14.00,6.00,68.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Trinity Large Thinking,Arcee AI,3.00,7.12,21.00,36.00,38.00,23.00,16.00,75.00,1.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
HyperNova 60B 2605,Multiverse Computing,8.00,6.00,18.00,33.00,35.00,15.00,17.00,73.00,1.00,100%,,0,0,0,0,0,0,0,0,0
Magistral Medium 1.2,Mistral,0.00,6.00,12.00,39.00,53.00,21.00,10.00,74.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Nova 2.0 Lite (low),Amazon,5.12,6.31,15.70,33.00,55.00,18.00,4.00,70.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Nemotron Cascade 2 30B A3B,NVIDIA,0.00,6.78,21.00,35.00,38.00,18.00,12.00,76.00,1.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Devstral Small 2,Mistral,12.00,11.00,30.00,29.00,27.00,16.00,3.00,53.00,0.00,100%,,0,0,0,0,0,0,0,0,0
K2 Think V2,MBZUAI Institute of Foundation Models,0.00,5.22,15.00,33.00,55.00,18.00,10.00,71.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
LongCat Flash Lite,LongCat,4.76,7.02,21.79,28.00,29.00,13.00,6.00,64.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
HyperCLOVA X SEED Think (32B),Naver,0.92,5.89,8.09,28.00,13.00,15.00,5.00,62.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
K-EXAONE,LG AI Research,8.49,7.23,23.23,27.00,50.00,14.00,6.00,69.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Qwen3 Next 80B A3B,Alibaba,0.00,6.00,7.00,39.00,62.00,19.00,13.00,76.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Nova 2.0 Omni (low),Amazon,5.58,6.48,17.38,34.00,54.00,19.00,7.68,70.00,0.00,56%,"GDPvalAAv2,HLE,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,1,0,0
Mi:dm K 2.5 Pro,Korea Telecom,1.32,6.08,8.43,33.00,10.00,18.00,8.00,70.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
G9v3-3B,AI9Stars,18.00,4.54,6.00,18.00,41.00,7.00,4.00,44.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Qwen3.5 4B,Alibaba,2.50,4.00,21.00,18.00,34.00,11.00,8.00,71.00,0.00,89%,GDPvalAAv2,1,0,0,0,0,0,0,0,0
Mistral Large 3,Mistral,7.00,6.00,12.00,36.00,35.00,25.00,4.00,68.00,0.00,100%,,0,0,0,0,0,0,0,0,0
INTELLECT-3,Prime Intellect,4.13,7.12,28.62,39.00,36.00,20.00,13.00,76.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Solar Open 100B,Upstage,7.36,8.19,31.27,27.00,37.00,19.00,10.00,66.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
gpt-oss-20b (high),OpenAI,3.00,7.00,14.00,34.00,33.00,16.00,11.00,69.00,1.00,100%,,0,0,0,0,0,0,0,0,0
Nemotron 3 Nano Omni 30B A3B,NVIDIA,0.00,4.50,7.00,28.00,41.00,15.00,5.00,47.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
gpt-oss-120b (low),OpenAI,0.00,3.00,14.00,36.00,46.00,20.00,6.00,67.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Nemotron 3 Nano,NVIDIA,0.00,6.00,7.00,30.00,37.00,17.00,11.00,76.00,1.00,100%,,0,0,0,0,0,0,0,0,0
Solar Pro 3,Upstage,0.00,9.00,12.00,25.00,31.00,19.00,10.00,72.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Llama 4 Maverick,Meta,0.00,4.00,8.00,33.00,50.00,25.00,5.00,67.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Nova 2.0 Pro Preview,Amazon,3.00,6.65,17.00,28.00,31.00,17.00,4.00,64.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
gpt-oss-20b (low),OpenAI,6.98,8.53,22.78,34.00,31.00,15.00,5.00,61.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
K2-V2 (high),MBZUAI Institute of Foundation Models,6.66,8.16,28.99,29.00,36.00,19.00,11.00,68.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Qwen3 Next 80B A3B,Alibaba,0.00,6.00,7.00,39.00,62.00,19.00,13.00,76.00,0.00,67%,,0,0,0,0,0,0,0,0,0
